,Funding Orgs
766,"King Abdulaziz City for Science and Technology (KACST) through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), as part of the National Science, Technology and Innovation Plan [13-WAT96-04]"
767,"King Abdulaziz City for Science and Technology (KACST) through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), as part of the National Science, Technology and Innovation Plan [14-ENV332-04]"
768,"King Abdulaziz City for Science and Technology (KACST) through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia as a part of the National Science, Technology and Innovation Plan (NSTIP) [11-NAN1620-04]"
769,"King Abdulaziz City for Science and Technology (KACST) through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), National Science, Technology and Innovation Plan (NSTIP) [12-WAT3032-04]"
770,"King Abdulaziz City for Science and Technology (KACST) through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), National Science, Technology and Innovation Plan [13-WAT96-04]"
771,"King Abdulaziz City for Science and Technology (KACST) through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), Saudia Arabia, National Science, Technology and Innovation Plan [11-ENV2143-04]"
772,"King Abdulaziz City for Science and Technology (KACST) through the Science & Technology Unit at King Fand University of Petroleum & Minerals (KFUPM) as part of the National Science, Technology and Innovation Plan [13-NAN1700-04]"
773,"King Abdulaziz City for Science and Technology (KACST) through the Science & Technology Unit at King Fand University of Petroleum & Minerals (KFUPM), as part of the National Science, Technology and Innovation Plan [11-ENV2143-04]"
774,"King Abdulaziz City for Science and Technology (KACST) through the Science & Technology Unit at the King Fahd University of Petroleum & Minerals (KFUPM) as part of the National Science, Technology and Innovation Plan [12-OIL2998-04]"
775,"King Abdulaziz City for Science and Technology (KACST) through the Science & Technology Unit in the Center of Research Excellence in Nanotechnology at KFUPM as part of the National Science, Technology and Innovation Plan [13-NAN1702-04]; MJIIT"
776,"King Abdulaziz City for Science and Technology (KACST) through the Science and Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) as part of the National Science, Technology and Innovation Plan [10ENE1374-04]; CAM, Qatar University"
777,"King Abdulaziz City for Science and Technology (KACST) through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM) [14-ENE265-04]; National Science, Technology and Innovation Plan (NSTIP)"
778,"King Abdulaziz City for Science and Technology (KACST) through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM) as a part of the National Science, Technology and Innovation Plan (NSTIP) [14-ENE265-04]"
779,"King Abdulaziz City for Science and Technology (KACST) through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM) as part of the National Science, Technology and Innovation Plan [13-WAT096-04]; Deanship of Scientific Research, University of Bahrain, Kingdom of Bahrain"
780,"King Abdulaziz City for Science and Technology (KACST) through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM) as part of the National Science, Technology and Innovation Plan [ENE2379-04]; KFUPM"
781,"King Abdulaziz City for Science and Technology (KACST) through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM), as part of the National Science, Technology and Innovation Plan [11-INF1657-04]"
782,"King Abdulaziz City for Science and Technology (KACST) through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM), as part of the National Science, Technology, and Innovation Plan [13-ENV1628-04]"
783,"King AbdulAziz City for Science and Technology (KACST) through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM), National Science, Technology, and Innovation Plan [13-NAN467-04]"
784,"King Abdulaziz City for Science and Technology (KACST) through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM), National Science, Technology, and Innovation Plan [NSTIP (11-ADV2130-04)]"
785,"King Abdulaziz City for Science and Technology (KACST) through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM); NSTIP [13-ADV-2155-04]; National Science, Technology and Innovation Plan"
786,"King Abdulaziz City for Science and Technology (KACST) through the Science and Technology Unit at King Fand University of Petroleum and Minerals (KFUPM), through the National Science, Technology and Innovation Plan [13-ENV1628-04]"
787,King Abdulaziz City for Science and Technology (KACST) through the Science Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM) [11-INF1658-04]
788,King Abdulaziz City for Science and Technology (KACST) under the National Science Technology Innovation Plan (NSTIP) [14-ADV2452-04]
789,"King Abdulaziz City for Science and Technology (KACST) under the National Science Technology Plan (NSTIP) [14-ADV2448-04]; Center of Research Excellence in Corrosion (CORE-C), at King Fahd University of Petroleum & Minerals (KFUPM)"
790,"King Abdulaziz City for Science and Technology (KACST) under the National Science Technology Plan (NSTIP) [14-ADV2448-04]; Deanship of Scientific Research (DSR); Center of Research Excellence in Corrosion (CORE-C), at King Fahd University of Petroleum AMP; Minerals (KFUPM)"
791,"King Abdulaziz City for Science and Technology (KACST) under the National Science Technology Plan (NSTIP) [14-ADV2448-04]; Deanship of Scientific Research (DSR); Center of Research Excellence in Corrosion (CORE-C), at King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia"
792,"King Abdulaziz City for Science and Technology (KACST) under the National Science Technology Plan (NSTIP) [14-ADV2448-04]; Deanship of Scientific Research (DSR); Center of Research Excellence in Corrosion (CORE-C), at King Fand University of Petroleum & Minerals (KFUPM)"
793,"King Abdulaziz City for Science and Technology (KACST) under the National Science Technology Plan (NSTIP) grant [14-ADV2448-04]; Deanship of Scientific Research (DSR); Center of Research Excellence in Corrosion (CORE-C), at King Fahd University of Petroleum & Minerals (KFUPM)"
794,"King Abdulaziz City for Science and Technology (KACST) under the National Science Technology Plan (NSTIP) grant [14-ADV2452-04]; Deanship of Scientific Research (DSR), at King Fahd University of Petroleum and Minerals (KFUPM); Center of Research Excellence in Corrosion (CORE-C), at King Fahd University of Petroleum and Minerals (KFUPM)"
795,"King Abdulaziz City for Science and Technology (KACST) under the National Science, Technology and Innovation Plan (NSTIP), Saudi Arabia [15-OIL4884-0124]"
796,"King Abdulaziz City for Science and Technology (KACST) under the National Science, Technology, and Innovation Plan [11-INF1657-04]; King Fahd University of Petroleum & Minerals (KFUPM)"
797,"King Abdulaziz City for Science and Technology (KACST) under the National Science, Technology, and Innovation Plan [13-INF2452-04]; King Fahd University of Petroleum & Minerals (KFUPM)"
798,"King Abdulaziz City for Science and Technology (KACST), Carbon Capture and Sequestration Technology Innovation Center (CCS-TIC) [32-753, CCS10]; Deanship of Scientific Research at KFUPM"
799,"King Abdulaziz City for Science and Technology (KACST), KSA [AT-34-7]"
800,"King Abdulaziz City for Science and Technology (KACST), Riyadh, Saudi Arabia"
801,"King Abdulaziz City for Science and Technology (KACST), Riyadh, Saudi Arabia, under the National Science, Technology and Innovation Plan (NSTIP) [09-ADV764-04]; Deanship of Research, King Fahd University of Petroleum and Minerals [IN161018]"
802,"King Abdulaziz City for Science and Technology (KACST), Riyadh, Saudi Arabia; King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia"
803,"King Abdulaziz City for Science and Technology (KACST), Saudi Arabia [AR-32-99]"
804,"King Abdulaziz City for Science and Technology (KACST), Saudi Arabia through KACST Technology Innovation Center (TIC) for Solid State Lighting (SSL) [EE2381, KACST TIC R2-FP-008]; Deanship of Research, King Saud University (KSU), Saudi Arabia [RG-1440-112]"
805,"King Abdulaziz City for Science and Technology (KACST), Saudi Arabia through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [12-ADV2397-04]; National Science, Technology and Innovation Plan"
806,"King Abdulaziz City for Science and Technology (KACST), Saudi Arabia, through King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [15-ENV4643-04]"
807,"King Abdulaziz City for Science and Technology (KACST), through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) as part of the National Science, Technology and Innovation Plan (NSTIP) [11-OIL1661-04]"
808,"King Abdulaziz City for Science and Technology (KACST); Carbon Capture and Sequestration Technology Innovation Center (CCS-TIC) [32-753, CCS10]; Deanship of Research at KFUPM"
809,"King Abdulaziz City for Science and Technology (KACST); Carbon Capture and Sequestration Technology Innovation Center (CCS-TIC) [32-753, CCS10]; KFUPM, Dhahran, Saudi Arabia"
810,"King Abdulaziz City for Science and Technology (KACST); Carbon Capture and Sequestration Technology Innovation Center (CCS-TIC) under Project CCS10 [32-753]; Deanship of Research (DSR) at KFUPM, Saudi Arabia"
811,King Abdulaziz City for Science and Technology (KACST); King Fahd University of Petroleum and Minerals (KFUPM) under NSTIP Project [09-WAT776-04]
812,King Abdulaziz City for Science and Technology [13-WAT96-04]
813,King Abdulaziz City for Science and Technology [ARP 19-10]; King Fahd University of Petroleum and Minerals; Qatar University
814,King Abdulaziz City for Science and Technology [ART 34-47]
815,King Abdulaziz City for Science and Technology [AT-131-35]
816,King Abdulaziz City for Science and Technology [KACST 230-34]; KACST [230-34]
817,"King Abdulaziz City for Science and Technology as part of the National Science, Technology, and Innovation Plan (NSTIP) through the Science and Technology Unit at KFUPM [14-OIL468-04]"
818,King Abdulaziz City for Science and Technology through NSTIP [13-ENE1727-04-R]; King Fahd University of Petroleum & Minerals (KFUPM)
819,King Abdulaziz City for Science and Technology through NSTIP [14-ADV303-04]
820,"King Abdulaziz City for Science and Technology through Science and Technology Unit, King Fahd University of Petroleum and Minerals, as a part of the National Science, Technology and Innovation Plan [14-ENE265-04]"
821,"King Abdulaziz City for Science and Technology through the Science  Technology Unit in Center of Research Excellence in Nanotechnology at King Fahd University of Petroleum  Minerals (KFUPM) as part of the National Science, Technology and Innovation Plan [11-NAN2166-04]"
822,"King Abdulaziz City for Science and Technology through the Science & Technology Unit at King Fahd University of Petroleum and Minerals [11-OIL2144-04]; National Science, Technology and Innovation Plan"
823,King Abdulaziz City for Science and Technology through the Science & Technology Unit at King Fahd University of Petroleum and Minerals [12-ADV3036-04]
824,"King Abdulaziz City for Science and Technology through the Science & Technology Unit at King Fahd University of Petroleum and Minerals, as part of the National Science, Technology and Innovation Plan [12-ADV3036-04]"
825,"King Abdulaziz City for Science and Technology through the Science & Technology Unit in the Center of Research Excellence in Nanotechnology at King Fand University of Petroleum & Minerals (KFUPM) [13-NAN1702-04]; National Science, Technology and Innovation Plan"
826,"King Abdulaziz City for Science and Technology through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM) [12-OIL2998-04]; National Science, Technology and Innovation Plan"
827,"King Abdulaziz City for Science and Technology through the Science and Technology Unit at King Fand University of Petroleum and Minerals as part of the National Science, Technology and Innovation Plan of Saudi Arabia [13-ENV1628-04]"
828,"King Abdulaziz City for Science and Technology through the Science and Technology Unit in the Center of Research Excellence in Nanotechnology at King Fand University of Petroleum and Minerals (KFUPM) [13-NAN1702-04]; National Science, Technology and Innovation Plan"
829,"King Abdulaziz City for Science and Technology through the Science and Technology Unit, King Fahd University of Petroleum & Minerals, as a part of the National Science, Technology and Innovation Plan [14-ENE265-04]"
830,"King Abdulaziz City for Science and Technology through the Science and Technology Unit, King Fahd University of Petroleum and Minerals [12-ENE3204-04]"
831,"King Abdulaziz City for Science and Technology through the Science and Technology Unit, King Fahd University of Petroleum Minerals [14-ENE265-04]; National Science, Technology and Innovation Plan"
832,"King Abdulaziz City for Science and Technology, Riyadh, Saudi Arabia [KACST 230-34]; King Fahd University of Petroleum & Minerals (KFUPM)"
833,"King Abdulaziz City for Science and Technology, Riyadh, Saudi Arabia. [KACST 230-34]"
834,"King Abdulaziz City for Science and Technology(KACST) through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM, National Science, Technology and Innovation Plan) [12-ADV3036-04]"
835,"King Abdulaziz City of King Abdulaziz City of Science and Technology (KACST) under the National Science, Technology and Innovation Plan (NSTIP) [15-OIL4884-0124]"
836,King Abdulaziz City of Science and Technology (KACST) [AR-34-3]
837,"King Abdulaziz City of Science and Technology (KACST) under the National Science, Technology and Innovation Plan (NSTIP) [15-OIL4884-0124]"
838,King Abdulaziz City of Science and Technology (KACST); King Fahd University of Petroleum and Minerals
839,"King Abdulaziz University's High Performance Computing Centre (Aziz Supercomputer); Center of Research Excellence in Corrosion (CoRE-C), at the Research Institute of King Fahd University of Petroleum and Minerals, Saudi Arabia"
840,King Abdullah City for Atomic and Renewable Energy
841,King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
842,"King Abdullah City for Atomic and Renewable Energy (K.A.CARE) [KACARE182-GSGP-05, KACARE182-RFP-02]; King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia [RG 1405-1]"
843,"King Abdullah City for Atomic and Renewable Energy (K.A.CARE) [KACARE182-GSGP-11, KACARE182-RFP-02]"
844,"King Abdullah City for Atomic and Renewable Energy (K.A.CARE) [KACARE182-GSGP-11, KACARE182-RFP-02]; King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia [RG181002]"
845,King Abdullah City for Atomic and Renewable Energy (K.A.CARE) [KACARE182-RFP-12]
846,"King Abdullah City for Atomic and Renewable Energy (K.A.CARE), Saudi Arabia [KACARE182-GSGP-07, KACARE182-RFP-02]"
847,King Abdullah City for Atomic and Renewable Energy (K.A.CARE);  [DSR-DF181012]
848,King Abdullah City for Atomic and Renewable Energy (K.A.CARE); DSR of King Fahd University of Petroleum and Minerals (KFUPM) [DF181017]
849,King Abdullah City for Atomic and Renewable Energy (KACARE) [KACARE182-RFP-07]
850,"King Abdullah City for Atomic and Renewable Energy (KACARE), Saudi Arabia [KACARE182-RFP-09, KACARE182-REF-07]"
851,"King Abdullah City for Atomic and Renewable Energy, Saudi Arabia [KACARE 182-GSGP-06, KACARE 182-RFP-02]; King Fahd University of Petroleum & Minerals, Saudi Arabia [RG 181002]"
852,"King Abdullah City for Atomic and Renewable Energy, Saudi Arabia [KACARE182-GSGP-12, KACARE182-RFP-02]; King Fand University of Petroleum & Minerals, Saudi Arabia [SR 181005]"
853,"King Abdullah University of Science and Technology (KAUST) Office of Sponsored Research (OSR) [OSR-2016-KKI-2899]; Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia [EE002355, KAUST-002]"
854,King Abdullah University of Science and Technology (KAUST) through the Office of Sponsored Research (OSR) [OSR-2015-CRG4-2626]; Deanship of Scientific Research at King Fahd University of Petroleum and Minerals (KFUPM) [SR181002]
855,King Abdullah University of Science and Technology (KAUST)'s Office of Sponsored Research [OSR-2016-KKI-2899]; King Fahd University of Petroleum and Minerals (KFUPM)'s Deanship of Scientific Research under Project [KAUST-002]
856,King Abdullah University of Science and Technology (KAUST)King Abdullah University of Science & Technology; KAUST CRG3 Award [2281]; KAUST CRG4 Award [2584]
857,"King Abdullah University of Science and TechnologyKing Abdullah University of Science & Technology [KAUST-002]; National Plan for Science, Technology and Innovation (Maarifah)-King Abdulaziz City for Science and Technology-through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM)-the Kingdom of Saudi Arabia [15-MED-3742-04]"
858,"King Eand University of Petroleum and Minerals, Dhahran, Saudi Arabia"
859,King Fahad University of Petroleum and Minerals
860,King Fahad University of Petroleum and Minerals KFUPM [SR181020]; KFUPM
861,King Fahd University of Minerals and Petroleum [SR161014]
862,"King Fahd University of Petroleum & Minerals (Dhahran, Saudi Arabia)"
863,"King Fahd University of Petroleum & Minerals (KFUPM, Dhahran, Saudi Arabia)"
864,King Fahd University of Petroleum & Minerals (KFUPM)
865,King Fahd University of Petroleum & Minerals (KFUPM) - Saudi Arabia [DSR NUS15105]
866,King Fahd University of Petroleum & Minerals (KFUPM) [DSR NUS15105]
867,"King Fahd University of Petroleum & Minerals (KFUPM) [DSR NUS15105]; Center of Excellence in Nanotechnology at King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia"
868,King Fahd University of Petroleum & Minerals (KFUPM) [DSR SL191003]
869,King Fahd University of Petroleum & Minerals (KFUPM) [DSR-IN161059]; sunway university [STRRCTR-RCNMET-001-2019]
870,"King Fahd University of Petroleum & Minerals (KFUPM) [FT131016, GTEC 1401]"
871,King Fahd University of Petroleum & Minerals (KFUPM) [FT161007]
872,King Fahd University of Petroleum & Minerals (KFUPM) [IN131031]
873,King Fahd University of Petroleum & Minerals (KFUPM) [IN141001]
874,King Fahd University of Petroleum & Minerals (KFUPM) [IN141029]; institutional sources of Palacky University
875,King Fahd University of Petroleum & Minerals (KFUPM) [IN151001]
876,King Fahd University of Petroleum & Minerals (KFUPM) [IN151008]
877,King Fahd University of Petroleum & Minerals (KFUPM) [IN161005]
878,King Fahd University of Petroleum & Minerals (KFUPM) [IN161011]
879,King Fahd University of Petroleum & Minerals (KFUPM) [IN161022]
880,King Fahd University of Petroleum & Minerals (KFUPM) [IN161050]
881,King Fahd University of Petroleum & Minerals (KFUPM) [IN171017]
882,King Fahd University of Petroleum & Minerals (KFUPM) [IN171017]; Turkish Academy of SciencesTurkish Academy of Sciences
883,King Fahd University of Petroleum & Minerals (KFUPM) [IN171021]
884,King Fahd University of Petroleum & Minerals (KFUPM) [JF151007]
885,King Fahd University of Petroleum & Minerals (KFUPM) [RG181003]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
886,King Fahd University of Petroleum & Minerals (KFUPM) [SR161009]
887,King Fahd University of Petroleum & Minerals (KFUPM) [USRG1802]
888,King Fahd University of petroleum & Minerals (KFUPM) Saudi Arabia [IN141022]
889,King Fahd University of Petroleum & Minerals (KFUPM) through DSR Project [FT161016]
890,King Fahd University of Petroleum & Minerals (KFUPM) through the Water Research Group
891,King Fahd University of Petroleum & Minerals (KFUPM) University
892,"King Fahd University of Petroleum & Minerals (KFUPM), Dhahran-31261, Saudi Arabia"
893,"King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia"
894,"King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia [IN131041]; Center of Research Excellence in Renewable Energy, KFUPM, Dhahran, Saudi Arabia"
895,"King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia [IN161050]"
896,"King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia [RG 1405-1]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE) [KACARE182-GSGP-05, KACARE182-RFP-02]"
897,"King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia [RG 181002]"
898,"King Fahd University of Petroleum & Minerals (KFUPM), Kingdom of Saudi Arabia"
899,"King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [DF181001]"
900,"King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [IN161055]; Department of Civil and Environmental Engineering"
901,"King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [IN171021]"
902,"King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [KAUST003]"
903,King Fahd University of Petroleum & Minerals (KFUPM); KFUPM Internal Funded Grant (DSR) [IN171028]
904,King Fahd University of Petroleum & Minerals (KFUPM); King Fahd University of Petroleum & Minerals (KFUPM) under the Deanship of Research [IN131053]
905,King Fahd University of Petroleum & Minerals DSR Research Grant [RG161003]
906,King Fahd University of Petroleum & Minerals through Electrical Power & Energy Systems Research Group [RG1420-12]
907,King Fahd University of Petroleum & Minerals under DSR [RG1412]
908,King Fahd University of Petroleum & Minerals under the Deanship of Research [SR171021]
909,"King Fahd University of Petroleum & Minerals-Deanship of Research [DF181030, USRG1801]; University of Waterloo; Pratt and Whitney Canada"
910,"King Fahd University of Petroleum & Minerals, Dhahran, Saudi Arabia"
911,"King Fahd University of Petroleum & Minerals, Dhahran, Saudi Arabia [IN161059]"
912,"King Fahd University of Petroleum & Minerals, Dhahran, Saudi Arabia [ORCP2500]"
913,"King Fahd University of Petroleum & Minerals, Dhahran, Saudi Arabia [RG1323-1, RG1323-2]"
914,"King Fahd University of Petroleum & Minerals, Dhahran, Saudi Arabia [RG1324-1, RG1324-2]"
915,"King Fahd University of Petroleum & Minerals, Dhahran, Saudi Arabia [RG1324-2, RG1324-1]"
916,"King Fahd University of Petroleum & Minerals, Dhahran, Saudi Arabia [SB191049]"
917,"King Fahd University of Petroleum & Minerals, Dhahran, Saudi Arabia; Turkish Scientific and Research Council (TUBITAK)Turkiye Bilimsel ve Teknolojik Arastirma Kurumu (TUBITAK) [215E311]"
918,"King Fahd University of Petroleum & Minerals, KFUPM (Dhahran, Saudi Arabia)"
919,"King Fahd University of Petroleum & Minerals, Kingdom of Saudi Arabia"
920,"King Fahd University of Petroleum & Minerals, Saudi Arabia"
921,"King Fahd University of Petroleum & Minerals, Saudi Arabia; School of Geography, Environment and Earth Sciences of Victoria University of Wellington, New Zealand"
922,King Fahd University of Petroleum &Minerals (KFUPM)
923,King Fahd University of Petroleum AMP; Minerals (KFUPM) - Saudi Arabia [DSR NUS15105]
924,King Fahd University of Petroleum AMP; Minerals (KFUPM) [RG1406]
925,"King Fahd University of Petroleum AMP; Minerals (KFUPM), Dhahran, Saudi Arabia [18061]"
926,"King Fahd University of Petroleum and Mineral (KFUPM), Dhahran; Imam Abdulrahman Bin Faisal University (IAU), Dammam, KSA"
927,King Fahd University of Petroleum and Minerals
928,"King Fahd University of Petroleum and Minerals (Dhahran, Saudi Arabia)"
929,King Fahd University of Petroleum and Minerals (FUPM) [SR161021]
930,King Fahd University of Petroleum and Minerals (KFUPM Saudi Arabia); King Fahd University of Petroleum and Minerals [FT161002]
931,"King Fahd University of Petroleum and Minerals (KFUPM, Dhahran, Saudi Arabia) [SR151004]; KFUPM"
932,King Fahd University of Petroleum and Minerals (KFUPM)
933,King Fahd University of Petroleum and Minerals (KFUPM) [11-ADV2134-04]; King Abdulaziz City for Science and Technology (KACST) [11-ADV2134-04]
934,King Fahd University of Petroleum and Minerals (KFUPM) [131058]
935,King Fahd University of Petroleum and Minerals (KFUPM) [1421-1]
936,King Fahd University of Petroleum and Minerals (KFUPM) [DF181009]
937,King Fahd University of Petroleum and Minerals (KFUPM) [DSR SL191003]
938,King Fahd University of Petroleum and Minerals (KFUPM) [DSRNUS15105]
939,King Fahd University of Petroleum and Minerals (KFUPM) [FT161016]
940,King Fahd University of Petroleum and Minerals (KFUPM) [IN-161040]
941,King Fahd University of Petroleum and Minerals (KFUPM) [IN090040]
942,King Fahd University of Petroleum and Minerals (KFUPM) [IN131053]
943,"King Fahd University of Petroleum and Minerals (KFUPM) [IN141029, IN161005]"
944,King Fahd University of Petroleum and Minerals (KFUPM) [IN141033]; King Abdullah City for Atomic and Renewable Energy (K. A. CARE)
945,King Fahd University of Petroleum and Minerals (KFUPM) [IN151006]
946,King Fahd University of Petroleum and Minerals (KFUPM) [IN151008]
947,King Fahd University of Petroleum and Minerals (KFUPM) [IN151019]
948,King Fahd University of Petroleum and Minerals (KFUPM) [IN151023]
949,"King Fahd University of Petroleum and Minerals (KFUPM) [IN151032]; Netherlands Organisation for Scientific Research (VICI grant)Netherlands Organization for Scientific Research (NWO) [724.014.003]; European Research Council (ERC)European Research Council (ERC) [638271, 648026]; Netherlands Organisation for Scientific Research (Sector Plan for Physics and Chemistry)"
950,King Fahd University of Petroleum and Minerals (KFUPM) [IN151034]
951,King Fahd University of Petroleum and Minerals (KFUPM) [IN161010]
952,King Fahd University of Petroleum and Minerals (KFUPM) [IN161011]
953,King Fahd University of Petroleum and Minerals (KFUPM) [IN161016]
954,King Fahd University of Petroleum and Minerals (KFUPM) [IN161038]
955,King Fahd University of Petroleum and Minerals (KFUPM) [IN171001]
956,King Fahd University of Petroleum and Minerals (KFUPM) [IN171001]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
957,King Fahd University of Petroleum and Minerals (KFUPM) [IN171001R]
958,King Fahd University of Petroleum and Minerals (KFUPM) [IN171018]
959,King Fahd University of Petroleum and Minerals (KFUPM) [IN171044]
960,King Fahd University of Petroleum and Minerals (KFUPM) [IN171048]
961,King Fahd University of Petroleum and Minerals (KFUPM) [IN181028]; Research and Development Office (RDO) of the Ministry of Education (MOE) through the high-impact research publication grant
962,"King Fahd University of Petroleum and Minerals (KFUPM) [KAUST004]; King Abdulaziz City for Science and Technology (KACST) [EE2381, TIC R2-FP-008]; King Abdullah University of Science and Technology (KAUST)King Abdullah University of Science & Technology [BAS/1/1614-01-01, GEN/1/6607-01-01, KCR/ 1/2081-01-01, REP/1/2878-01-01]; KAUST-KFUPM Special Initiative (KKI) Program"
963,King Fahd University of Petroleum and Minerals (KFUPM) [MIT11111-11112]
964,King Fahd University of Petroleum and Minerals (KFUPM) [MIT13101/2]
965,"King Fahd University of Petroleum and Minerals (KFUPM) [NUS15107, IN171015]"
966,King Fahd University of Petroleum and Minerals (KFUPM) [RG 1409-1]
967,King Fahd University of Petroleum and Minerals (KFUPM) [SB141001]
968,King Fahd University of Petroleum and Minerals (KFUPM) [SB181021]
969,King Fahd University of Petroleum and Minerals (KFUPM) [SB181027]
970,King Fahd University of Petroleum and Minerals (KFUPM) [SP171003]; Saudi Arabian Basic Industries Corporation (SABIC) [SP171003]
971,King Fahd University of Petroleum and Minerals (KFUPM) [SR151014]
972,King Fahd University of Petroleum and Minerals (KFUPM) [SR171010]
973,King Fahd University of Petroleum and Minerals (KFUPM) in Saudi Arabia; Gazi UniversityGazi University; TAI (SAYP Project DDKIG1) in Turkey; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
974,King Fahd University of Petroleum and Minerals (KFUPM) Saudi Arabia [IN161009]
975,King Fahd University of Petroleum and Minerals (KFUPM) through DSR project [SB181027]
976,King Fahd University of Petroleum and Minerals (KFUPM) through the Deanship of Research on Project [DF191005]
977,King Fahd University of Petroleum and Minerals (KFUPM) under DSR project [IN161027]; SABIC [ME 2394]
978,"King Fahd University of Petroleum and Minerals (KFUPM) under the Intelligent Systems Research Group (ISRG) [RG1106-1, RG1106-2]"
979,"King Fahd University of Petroleum and Minerals (KFUPM) via King Abdulaziz City for Science and Technology (KACST) [EE2381, KACST TIC R2-FP-008]; King Abdullah University of Science and Technology (KAUST)King Abdullah University of Science & Technology [BAS/1/1614-01-01, KCR/1/2081-01-01, GEN/1/6607-01-01]; KAUST-KFUPM Special Initiative (KKI) Program [REP/1/2878-01-01]"
980,"King Fahd University of Petroleum and Minerals (KFUPM), Dhahran Saudi Arabia"
981,"King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia"
982,"King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia [IN161037]"
983,"King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia [RG. 1410-1, RG. 1410-2]"
984,"King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia [RG1402-1, RG1402-2]"
985,"King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia [SF18061]"
986,"King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia [USRG1601]"
987,"King Fahd University of Petroleum and Minerals (KFUPM), King Abdulaziz City for Science and Technology (KACST) via KACST-TIC in Solid State Lighting [EE2381, KACST TIC R2-FP-008]"
988,"King Fahd University of Petroleum and Minerals (KFUPM), Kingdom of Saudi Arabia under the Deanship of Scientific Research (DSR) [DF181007]; KFUPM"
989,"King Fahd University of Petroleum and Minerals (KFUPM), Kingdom of Saudi Arabia under the Deanship of Scientific Research (DSR) [DF181007]; KFUPM; Sichuan 1000 Talent Fund; Youth Scientific and Innovation Research Team for Advanced Surface Functional Materials, Southwest Petroleum University [2018CXTD06, X151517KCL42]"
990,"King Fahd University of Petroleum and Minerals (KFUPM), Kingdom of Saudi Arabia, under the Deanship of Scientific Research (DSR) [DF191051]; Youth Scientific and Innovation Research Team for Advanced Surface Functional Materials, Southwest Petroleum University [2018CXTD06];  [X151517KCL42]"
991,"King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia"
992,"King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [IN161038]"
